ID,Label,Depth,Num_Parents,Num_Children,Num_Descendants,Max_Num_Descendant_Diff
http://purl.obolibrary.org/obo/HP_0000118,Phenotypic abnormality,0,0,23,22861,0
http://purl.obolibrary.org/obo/HP_0000119,Abnormality of the genitourinary system,1,1,5,1767,5403
http://purl.obolibrary.org/obo/HP_0000152,Abnormality of head or neck,1,1,2,1611,5559
http://purl.obolibrary.org/obo/HP_0000478,Abnormality of the eye,1,1,2,1296,5874
http://purl.obolibrary.org/obo/HP_0000598,Abnormality of the ear,1,1,2,333,6837
http://purl.obolibrary.org/obo/HP_0000707,Abnormality of the nervous system,1,1,3,3193,3977
http://purl.obolibrary.org/obo/HP_0000769,Abnormality of the breast,1,1,2,53,7117
http://purl.obolibrary.org/obo/HP_0000818,Abnormality of the endocrine system,1,1,16,496,6674
http://purl.obolibrary.org/obo/HP_0001197,Abnormality of prenatal development or birth,1,1,9,259,6911
http://purl.obolibrary.org/obo/HP_0001507,Growth abnormality,1,1,9,109,7061
http://purl.obolibrary.org/obo/HP_0001574,Abnormality of the integument,1,1,4,1176,5994
http://purl.obolibrary.org/obo/HP_0001608,Abnormality of the voice,1,1,10,27,7143
http://purl.obolibrary.org/obo/HP_0001626,Abnormality of the cardiovascular system,1,1,4,1589,5581
http://purl.obolibrary.org/obo/HP_0001871,Abnormality of blood and blood-forming tissues,1,1,11,975,6195
http://purl.obolibrary.org/obo/HP_0001939,Abnormality of metabolism/homeostasis,1,1,18,2519,4651
http://purl.obolibrary.org/obo/HP_0002086,Abnormality of the respiratory system,1,1,3,683,6487
http://purl.obolibrary.org/obo/HP_0002664,Neoplasm,1,1,2,809,6361
http://purl.obolibrary.org/obo/HP_0002715,Abnormality of the immune system,1,1,3,1451,5719
http://purl.obolibrary.org/obo/HP_0025031,Abnormality of the digestive system,1,1,8,943,6227
http://purl.obolibrary.org/obo/HP_0025142,Constitutional symptom,1,1,24,145,7025
http://purl.obolibrary.org/obo/HP_0025354,Abnormal cellular phenotype,1,1,3,330,6840
http://purl.obolibrary.org/obo/HP_0033127,Abnormality of the musculoskeletal system,1,1,4,7170,0
http://purl.obolibrary.org/obo/HP_0040064,Abnormality of limbs,1,1,14,5099,2071
http://purl.obolibrary.org/obo/HP_0045027,Abnormality of the thoracic cavity,1,1,1,6,7164
http://purl.obolibrary.org/obo/HP_0000002,Abnormality of body height,2,1,3,34,4
http://purl.obolibrary.org/obo/HP_0000078,Abnormality of the genital system,2,1,3,540,662
http://purl.obolibrary.org/obo/HP_0000079,Abnormality of the urinary system,2,1,4,1202,0
http://purl.obolibrary.org/obo/HP_0000234,Abnormality of the head,2,1,6,1560,0
http://purl.obolibrary.org/obo/HP_0000464,Abnormality of the neck,2,1,2,49,1511
http://purl.obolibrary.org/obo/HP_0000777,Abnormal thymus morphology,2,2,6,10,152
http://purl.obolibrary.org/obo/HP_0000819,Diabetes mellitus,2,2,5,9,153
http://purl.obolibrary.org/obo/HP_0000820,Abnormality of the thyroid gland,2,1,2,84,78
http://purl.obolibrary.org/obo/HP_0000828,Abnormality of the parathyroid gland,2,1,2,18,144
